variable,variable_label,value,value_label
id,,,
version,Interview Version,,
zipcode,zipcode,,
county,In which California county do you live? [Field-RI_DD],1,Alameda
county,In which California county do you live? [Field-RI_DD],2,Alpine
county,In which California county do you live? [Field-RI_DD],3,Amador
county,In which California county do you live? [Field-RI_DD],4,Butte
county,In which California county do you live? [Field-RI_DD],5,Calaveras
county,In which California county do you live? [Field-RI_DD],6,Colusa
county,In which California county do you live? [Field-RI_DD],7,Contra Costa
county,In which California county do you live? [Field-RI_DD],8,Del Norte
county,In which California county do you live? [Field-RI_DD],9,El Dorado
county,In which California county do you live? [Field-RI_DD],10,Fresno
county,In which California county do you live? [Field-RI_DD],11,Glenn
county,In which California county do you live? [Field-RI_DD],12,Humboldt
county,In which California county do you live? [Field-RI_DD],13,Imperial
county,In which California county do you live? [Field-RI_DD],14,Inyo
county,In which California county do you live? [Field-RI_DD],15,Kern
county,In which California county do you live? [Field-RI_DD],16,Kings
county,In which California county do you live? [Field-RI_DD],17,Lake
county,In which California county do you live? [Field-RI_DD],18,Lassen
county,In which California county do you live? [Field-RI_DD],19,Los Angeles
county,In which California county do you live? [Field-RI_DD],20,Madera
county,In which California county do you live? [Field-RI_DD],21,Marin
county,In which California county do you live? [Field-RI_DD],22,Mariposa
county,In which California county do you live? [Field-RI_DD],23,Mendocino
county,In which California county do you live? [Field-RI_DD],24,Merced
county,In which California county do you live? [Field-RI_DD],25,Modoc
county,In which California county do you live? [Field-RI_DD],26,Mono
county,In which California county do you live? [Field-RI_DD],27,Monterey
county,In which California county do you live? [Field-RI_DD],28,Napa
county,In which California county do you live? [Field-RI_DD],29,Nevada
county,In which California county do you live? [Field-RI_DD],30,Orange
county,In which California county do you live? [Field-RI_DD],31,Placer
county,In which California county do you live? [Field-RI_DD],32,Plumas
county,In which California county do you live? [Field-RI_DD],33,Riverside
county,In which California county do you live? [Field-RI_DD],34,Sacramento
county,In which California county do you live? [Field-RI_DD],35,San Benito
county,In which California county do you live? [Field-RI_DD],36,San Bernardino
county,In which California county do you live? [Field-RI_DD],37,San Diego
county,In which California county do you live? [Field-RI_DD],38,San Francisco
county,In which California county do you live? [Field-RI_DD],39,San Joaquin
county,In which California county do you live? [Field-RI_DD],40,San Luis Obispo
county,In which California county do you live? [Field-RI_DD],41,San Mateo
county,In which California county do you live? [Field-RI_DD],42,Santa Barbara
county,In which California county do you live? [Field-RI_DD],43,Santa Clara
county,In which California county do you live? [Field-RI_DD],44,Santa Cruz
county,In which California county do you live? [Field-RI_DD],45,Shasta
county,In which California county do you live? [Field-RI_DD],46,Sierra
county,In which California county do you live? [Field-RI_DD],47,Siskiyou
county,In which California county do you live? [Field-RI_DD],48,Solano
county,In which California county do you live? [Field-RI_DD],49,Sonoma
county,In which California county do you live? [Field-RI_DD],50,Stanislaus
county,In which California county do you live? [Field-RI_DD],51,Sutter
county,In which California county do you live? [Field-RI_DD],52,Tehama
county,In which California county do you live? [Field-RI_DD],53,Trinity
county,In which California county do you live? [Field-RI_DD],54,Tulare
county,In which California county do you live? [Field-RI_DD],55,Tuolumne
county,In which California county do you live? [Field-RI_DD],56,Ventura
county,In which California county do you live? [Field-RI_DD],57,Yolo
county,In which California county do you live? [Field-RI_DD],58,Yuba
s3,"Are you a parent, stepparent, or legal guardian of any children 18 or under?",1,Yes
s3,"Are you a parent, stepparent, or legal guardian of any children 18 or under?",2,No
s3,"Are you a parent, stepparent, or legal guardian of any children 18 or under?",8,Don’t know
s3,"Are you a parent, stepparent, or legal guardian of any children 18 or under?",9,Prefer not to answer
q1,Q1. Do you approve or disapprove of the way that Governor Newsom is handling environmental issues in California?,1,Approve
q1,Q1. Do you approve or disapprove of the way that Governor Newsom is handling environmental issues in California?,2,Disapprove
q1,Q1. Do you approve or disapprove of the way that Governor Newsom is handling environmental issues in California?,8,Don't know
q1,Q1. Do you approve or disapprove of the way that Governor Newsom is handling environmental issues in California?,9,Prefer not to answer
q2,Q2. Do you approve or disapprove of the way that the California Legislature is handling environmental issues in California?,1,Approve
q2,Q2. Do you approve or disapprove of the way that the California Legislature is handling environmental issues in California?,2,Disapprove
q2,Q2. Do you approve or disapprove of the way that the California Legislature is handling environmental issues in California?,8,Don't know
q2,Q2. Do you approve or disapprove of the way that the California Legislature is handling environmental issues in California?,9,Prefer not to answer
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,1,Just about always
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,2,Most of the time
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,3,Only some of the time
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,4,Never
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,8,Don't know
q3,Q3. How much of the time can you trust the state government to do what is right when it comes to handling environmental issues in California?,9,Prefer not to answer
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",1,"air pollution, vehicle emissions, smog"
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",2,"delta, delta smelt, peripheral canal"
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",3,"energy, fossil fuels, solar, nuclear, wind, alternative"
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",4,"fracking, hydraulic fracturing"
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",5,gas prices
q4,"Q4. Next, what do you think is the most important environmental issue facing California today?",6,"global warming, climate change, greenhouse gases"
