StateName,CountyName,County_FIPS,CropIndemnityPayment,CropIndemnityPayment(ADJ),CropIndemnityPaymentPerCapita,Records
CALIFORNIA,Alameda,06001,3735282.00,4583486.78,2.74,106
CALIFORNIA,Alpine,06003,3676088.00,3935549.16,3424.13,12
CALIFORNIA,Amador,06005,6427224.16,7609115.72,188.75,171
CALIFORNIA,Butte,06007,261354506.00,345269369.75,1650.11,1459
CALIFORNIA,Calaveras,06009,6254961.00,7840157.22,173.48,203
CALIFORNIA,Colusa,06011,429665353.61,513634146.78,23834.63,1272
CALIFORNIA,Contra Costa,06013,18333693.70,24051220.84,21.78,237
CALIFORNIA,El Dorado,06017,9962319.10,12872613.87,70.18,343
CALIFORNIA,Fresno,06019,1602634324.83,2131139561.88,2290.37,7992
CALIFORNIA,Glenn,06021,247855882.15,313114172.35,11218.67,1327
CALIFORNIA,Humboldt,06023,6855952.00,8137495.70,60.23,56
CALIFORNIA,Imperial,06025,56616279.07,73061716.37,411.36,325
CALIFORNIA,Inyo,06027,10331112.00,11986302.33,636.86,10
CALIFORNIA,Kern,06029,1041419876.52,1341645983.85,1599.55,3315
CALIFORNIA,Kings,06031,565451117.52,725191282.95,5008.59,2101
CALIFORNIA,Lake,06033,66786221.90,78089875.46,1163.63,447
CALIFORNIA,Lassen,06035,42948778.05,50558070.03,1645.67,233
CALIFORNIA,Los Angeles,06037,5812475.00,7273418.69,0.69,95
CALIFORNIA,Madera,06039,362960937.70,498633691.42,3621.07,2250
CALIFORNIA,Marin,06041,2181926.50,2599659.64,10.02,78
CALIFORNIA,Mariposa,06043,2288171.00,2717609.53,158.24,39
CALIFORNIA,Mendocino,06045,50473832.10,59285554.67,660.87,416
CALIFORNIA,Merced,06047,295043002.15,400463494.61,1608.80,2089
CALIFORNIA,Modoc,06049,100632895.28,122507294.69,13952.30,705
CALIFORNIA,Mono,06051,30714920.00,35304329.93,2641.01,89
CALIFORNIA,Monterey,06053,110548206.40,137548983.93,322.93,568
CALIFORNIA,Napa,06055,211151605.90,250841234.85,1837.56,506
CALIFORNIA,Nevada,06057,1339801.00,1577250.90,15.47,48
CALIFORNIA,Orange,06059,1522416.00,2000244.67,0.61,18
CALIFORNIA,Placer,06061,34221322.50,40055495.73,99.39,183
CALIFORNIA,Plumas,06063,7670517.00,9214919.39,478.35,91
CALIFORNIA,Riverside,06065,72363398.27,101193979.18,48.00,1106
CALIFORNIA,Sacramento,06067,107003616.22,132721651.51,88.68,998
CALIFORNIA,San Benito,06069,42053243.90,54621327.64,920.81,507
CALIFORNIA,San Bernardino,06071,5663116.95,7537301.86,3.49,180
CALIFORNIA,San Diego,06073,46197799.10,59880516.19,18.21,655
CALIFORNIA,San Joaquin,06077,607144583.41,815723964.70,1171.20,3935
CALIFORNIA,San Luis Obispo,06079,127272555.90,159739934.89,578.55,1265
CALIFORNIA,San Mateo,06081,312931.00,370445.95,0.48,15
CALIFORNIA,Santa Barbara,06083,63276473.49,76220876.45,173.08,486
CALIFORNIA,Santa Clara,06085,40682023.70,51516466.01,27.14,271
CALIFORNIA,Santa Cruz,06087,1752341.00,2312391.15,8.78,69
CALIFORNIA,Shasta,06089,12436204.45,14821335.41,82.17,271
CALIFORNIA,Sierra,06091,1925684.00,2188859.28,686.28,49
CALIFORNIA,Siskiyou,06093,104925185.80,124650053.62,2858.63,834
CALIFORNIA,Solano,06095,82118734.05,107274330.39,255.16,1051
CALIFORNIA,Sonoma,06097,247890257.33,299486290.43,616.43,1016
CALIFORNIA,Stanislaus,06099,264647072.70,369558699.17,748.21,2043
CALIFORNIA,Sutter,06101,494647877.20,644230169.31,6968.23,2342
CALIFORNIA,Tehama,06103,113940563.88,150363286.16,2436.70,1108
CALIFORNIA,Trinity,06105,833711.00,913555.46,58.02,7
CALIFORNIA,Tulare,06107,653785180.48,879258378.17,2040.13,6525
CALIFORNIA,Tuolumne,06109,4378963.00,4871532.44,89.42,47
CALIFORNIA,Ventura,06111,97660397.85,128033687.46,154.12,1150
CALIFORNIA,Yolo,06113,287524325.75,369331050.03,1828.03,1901
CALIFORNIA,Yuba,06115,113819857.19,158115196.95,2178.06,812
