StateName,CountyName,County_FIPS,Fatalities,FatalitiesPerCapita,Fatalities_Duration,Injuries,InjuriesPerCapita,Injuries_Duration,CropDmg,CropDmg(ADJ 2024),CropDmgPerCapita,Crop_Damage_Duration,PropertyDmg,PropertyDmg(ADJ 2024),PropertyDmgPerCapita,Property_Damage_Duration,Duration_Days,Records
CALIFORNIA,Alameda,06001,57.46000,0.00004,730,1018.18000,0.00083,20,159174128.75000,385665780.48878,295.03427,31,1933141385.93000,4729327945.78866,3651.60792,730,730,322
CALIFORNIA,Alpine,06003,10.20000,0.01306,22,18.71000,0.02169,30,158691188.97000,385799009.30837,349388.57664,31,171114459.04000,318993734.42212,331734.32907,20,31,206
CALIFORNIA,Amador,06005,12.76000,0.00053,22,34.28000,0.00129,30,764170627.92000,1204818589.96921,35081.53666,31,55090840.67000,152228051.51054,7271.25918,27,31,328
CALIFORNIA,Butte,06007,113.89000,0.00053,31,67.74000,0.00043,20,164798703.70000,394762259.24621,2144.48831,31,6258538702.86000,8039529401.42869,35146.06528,27,31,247
CALIFORNIA,Calaveras,06009,9.37000,0.00035,22,12.91000,0.00045,30,763545895.78000,1203857123.91055,30170.95940,31,14800000.85000,43457397.45824,2388.27757,27,31,259
CALIFORNIA,Colusa,06011,6.51000,0.00042,20,29.57000,0.00183,20,172867387.89000,411377374.54759,24886.75813,31,35023949.66000,83425242.35306,5370.97531,27,31,140
CALIFORNIA,Contra Costa,06013,16.71000,0.00002,730,180.44000,0.00026,20,159286889.48000,385904807.39813,475.36659,31,149710341.31000,318931529.04863,384.42211,730,730,300
CALIFORNIA,Del Norte,06015,28.17000,0.00150,20,60.83000,0.00345,20,158956810.14000,385390669.78080,15983.03940,31,103423330.01000,272989376.58192,13042.64288,20,31,209
CALIFORNIA,El Dorado,06017,15.69000,0.00018,22,39.38000,0.00035,30,160456627.92000,388790300.98952,3042.04563,31,376857684.67000,943530392.91389,9663.14852,365,365,365
CALIFORNIA,Fresno,06019,53.32000,0.00008,30,371.65000,0.00055,30,582523088.63000,1127969025.18784,1544.58745,31,199328989.95000,392524449.02406,566.73872,30,31,801
